Hispanic_Perdue,Hispanic_Ossoff,White_Perdue,White_Ossoff,Black_Perdue,Black_Ossoff,Asian_Perdue,Asian_Ossoff,Other_Perdue,Other_Ossoff
0.516856972,0.483143028,0.785625812,0.214374188,0.029735864,0.970264136,0.144613771,0.855386229,0.085726447,0.914273553
0.305002245,0.694997755,0.585277704,0.414722296,0.002895737,0.997104263,0.106013642,0.893986358,0.08772013,0.91227987
0.326758063,0.673241937,0.90002708,0.09997292,0.030021411,0.969978589,0.174441189,0.825558811,0.088132238,0.911867762
0.244985337,0.755014663,0.806163971,0.193836029,0.056010513,0.943989487,0.168029948,0.831970052,0.09744917,0.90255083
0.500904822,0.499095178,0.897458744,0.102541256,0.054581073,0.945418927,0.125316365,0.874683635,0.119533815,0.880466185
0.233824841,0.766175159,0.601909878,0.398090122,0.009497202,0.990502798,0.12171092,0.87828908,0.075510435,0.924489565
0.369870923,0.630129077,0.667410801,0.332589199,0.0074206,0.9925794,0.116119193,0.883880807,0.087870906,0.912129094
0.29527171,0.70472829,0.733327504,0.266672496,0.005116888,0.994883112,0.100992655,0.899007345,0.072331796,0.927668204
0.285897672,0.714102328,0.743177101,0.256822899,0.070222752,0.929777248,0.136837519,0.863162481,0.111062255,0.888937745
0.333251721,0.666748279,0.838019083,0.161980917,0.040500525,0.959499475,0.167611552,0.832388448,0.104934395,0.895065605
0.359256412,0.640743588,0.899323546,0.100676454,0.065834865,0.934165135,0.181367887,0.818632113,0.108751558,0.891248442
0.333441157,0.666558843,0.899383161,0.100616839,0.087255352,0.912744648,0.150928106,0.849071894,0.10231277,0.89768723
0.307086963,0.692913037,0.760679745,0.239320255,0.047215986,0.952784014,0.164284632,0.835715368,0.093296349,0.906703651
0.286659786,0.713340214,0.728361886,0.271638114,0.046353041,0.953646959,0.157185556,0.842814444,0.109914525,0.890085475
0.232203687,0.767796313,0.452257242,0.547742758,0.00120066,0.99879934,0.110850561,0.889149439,0.024904716,0.975095284
0.316406263,0.683593737,0.859090343,0.140909657,0.047617015,0.952382985,0.143220744,0.856779256,0.085554799,0.914445201
0.421226029,0.578773971,0.771506391,0.228493609,0.059759679,0.940240321,0.162998298,0.837001702,0.119275961,0.880724039
0.362292079,0.637707921,0.911573218,0.088426782,0.066242065,0.933757935,0.153078355,0.846921645,0.079718326,0.920281674
0.313988561,0.686011439,0.78135034,0.21864966,0.017882876,0.982117124,0.131986988,0.868013012,0.076997848,0.923002152
0.389523871,0.610476129,0.857447252,0.142552748,0.029964132,0.970035868,0.141836611,0.858163389,0.103578858,0.896421142
0.261110261,0.738889739,0.585607589,0.414392411,0.007083227,0.992916773,0.110093578,0.889906422,0.067361751,0.932638249
0.346030464,0.653969536,0.860830327,0.139169673,0.054195739,0.945804261,0.149410292,0.850589708,0.11526001,0.88473999
0.280461737,0.719538263,0.721055268,0.278944732,0.003847198,0.996152802,0.129103852,0.870896148,0.080854984,0.919145016
0.22691868,0.77308132,0.568523779,0.431476221,0.004974534,0.995025466,0.121165967,0.878834033,0.083113632,0.916886368
0.357365051,0.642634949,0.739099829,0.260900171,0.009327373,0.990672627,0.155155973,0.844844027,0.091482506,0.908517494
0.243678777,0.756321223,0.81490939,0.18509061,0.027009679,0.972990321,0.130704461,0.869295539,0.10234105,0.89765895
0.225596679,0.774403321,0.761183203,0.238816797,0.010032064,0.989967936,0.141548018,0.858451982,0.084769164,0.915230836
