Precincts,Demographics,Candidates,Abstain
021-EAST MACON 3,Hispanic,Perdue,FALSE
021-EAST MACON 4,White,Ossoff,
021-HAZZARD 4,Black,,
021-HOWARD 5,Asian,,
021-RUTLAND 1,Other,,
021-GODFREY 4,,,
021-GODFREY 3,,,
021-VINEVILLE 3,,,
021-VINEVILLE 5,,,
021-VINEVILLE 6,,,
021-WARRIOR 1,,,
021-WARRIOR 2,,,
021-VINEVILLE 1,,,
021-VINEVILLE 2,,,
021-EAST MACON 1,,,
021-HOWARD 4,,,
021-HOWARD 7,,,
021-RUTLAND 2,,,
021-EAST MACON 5,,,
021-HAZZARD 2,,,
021-GODFREY 2,,,
021-HOWARD 6,,,
021-EAST MACON 2,,,
021-GODFREY 1,,,
021-GODFREY 5,,,
021-HAZZARD 3,,,
021-HAZZARD 1,,,
021-HOWARD 3,,,
021-VINEVILLE 4,,,
021-HOWARD 1,,,
021-HOWARD 2,,,
215-FIRST AFRICAN,,,
215-ST MARK/HEIFERHORN,,,
057-R T JONES,,,
057-SALACOA,,,
015-CENTER,,,
057-UNIVETER,,,
227-JERUSALEM,,,
015-WHITE,,,
129-SONORAVILLE,,,
227-HILL,,,
057-CANTON,,,
227-TATE,,,
057-R M MOORE,,,
057-CLAYTON,,,
057-TEASLEY,,,
153-RECR,,,
115-RIVERSIDE,,,
227-HINTON,,,
115-EAST ROME,,,
115-GLENWOOD,,,
123-LEACHES,,,
227-REFUGE,,,
227-LUDVILLE,,,
223-RUSSOM ELEMENTARY,,,
223-CROSSROADS LIBRARY,,,
071-THIGPEN,,,
117-04 CHESTATEE,,,
117-27 CONCORD,,,
223-DOBBINS MIDDLE SCHOOL,,,
223-D WRIGHT INNOVATION CTR,,,
223-WATSON GOVT CMPLX,,,
223-PAULDING COUNTY AIRPORT,,,
117-02 BRANDYWINE,,,
117-01 BIG CREEK,,,
135-PINCKNEYVILLE D,,,
135-BERKSHIRE B,,,
223-EVENTS PLACE,,,
223-BURNT HICKORY PARK,,,
135-LAWRENCEVILLE A,,,
135-BERKSHIRE F,,,
135-BERKSHIRE D,,,
135-BERKSHIRE A,,,
135-CATES A,,,
135-HOG MOUNTAIN B,,,
135-CATES N,,,
135-BAYCREEK D,,,
135-BERKSHIRE E,,,
135-GARNERS A,,,
135-PUCKETTS E,,,
135-DUNCANS C,,,
135-PUCKETTS A,,,
135-DUNCANS D,,,
135-ROCKYCREEK A,,,
135-SUWANEE A,,,
135-DACULA,,,
135-HARBINS A,,,
135-BERKSHIRE O,,,
135-BERKSHIRE N,,,
275-MEIGS,,,
077-GRANTVILLE,,,
063-FOREST PARK 3,,,
063-MORROW 4,,,
063-LAKE CITY,,,
063-MORROW 7,,,
063-RIVERDALE 1,,,
123-TOWN CREEK,,,
063-RIVERDALE 8,,,
063-MORROW 6,,,
063-JONESBORO 15,,,
063-RIVERDALE 6,,,
063-FOREST PARK 6,,,
231-MOLENA,,,
063-FOREST PARK 2,,,
063-MORROW 2,,,
199-GREENVILLE,,,
227-JASPER,,,
063-FOREST PARK 1,,,
063-FOREST PARK 4,,,
113-ABERDEEN,,,
063-RIVERDALE 7,,,
063-RIVERDALE 4,,,
123-YUKON,,,
063-MORROW 1,,,
077-TURIN,,,
077-MADRAS,,,
199-GAY,,,
077-EXPO CENTER,,,
